municipality,region,latitude,longitude,russian_lang,elev,dist_road,pop_density,dist_russia,rebel_violence
Volchiy,Luhansk,48.42083,38.86639,0.562766667,0.33819242,0.274423418,0.046204684,0.307733355,0
Volcheyarovka Nomer Vtoroy,Luhansk,48.83333,38.36667,0.227555556,0.244897959,0.351947046,0.016443633,0.608427483,0
Vovchoyarivka,Luhansk,48.84557,38.3769,0.225655556,0.239067055,0.315823573,0.095749446,0.612198329,0
Vovchenka,Donetsk,48.00787,37.355,0.413533333,0.346938776,0.182780853,0.25320425,0.593542885,0
Vodyanyy,Donetsk,47.75,37.76667,0.664677778,0.475218659,0.191585035,0.019144639,0.321559725,0
Vodyanskoye,Donetsk,48.41042,37.10338,0.154044444,0.472303207,0.267146384,0.216152735,0.832827536,0
Vodyanoye,Donetsk,48.41667,37.05,0.146266667,0.358600583,0.063788413,0.397962971,0.859620015,0
Vodyanoye,Luhansk,48.39278,39.12361,0.643322222,0.300291545,0.030306607,0.030088415,0.301172857,0
Vodyanoy,Luhansk,48.36583,39.7225,0.606388889,0.524781341,0.17959527,0.125030326,0.07278332,1
Vodino,Donetsk,47.14776,37.78809,0.657355556,0.157434402,0.093051549,0.486804023,0.254068142,0
Vlasivka,Luhansk,48.27332,39.85611,0.948066667,0.142857143,0.370636975,0.161851936,0.025129643,0
Vlasovka,Luhansk,48.20528,39.3475,0.260088889,0.609329446,0.310926924,0.018973835,0.184854451,0
Vladimirovka,Donetsk,48.66602,38.19071,0.184388889,0.294460641,0.024854315,0.013675658,0.581307688,0
Volodymyrivka,Donetsk,48.43859,37.34854,0.219544444,0.314868805,0.053636851,0.009454298,0.734646321,0
Vladimirovka,Luhansk,48.26583,38.86167,0.495777778,1,0.233175473,0.154422742,0.220412445,0
Volodymyrivka,Donetsk,47.73057,37.39001,0.270633333,0.524781341,0.317860878,0.025983785,0.52184475,0
Vitava,Donetsk,47.26833,38.14694,0.220355556,0.099125364,0.106440544,0.015208873,0.049663336,0
Vishnevyy,Luhansk,49.90589,38.69119,0.310711111,0.466472303,0.418517256,0.007065735,0.020812385,0
Vyshneve,Donetsk,47.671,38.2725,0.4459,0.43148688,0.157388423,0.017432652,0.061057249,0
Vyshnovyy,Donetsk,47.34719,37.88204,0.346311111,0.151603499,0.477939907,0.011152706,0.194158757,0
Vyshneve,Donetsk,48.15098,37.248,0.250433333,0.489795918,0.175067934,0.028504771,0.685321696,0
Vyshneve,Luhansk,48.02457,39.21488,0.543477778,0.43148688,0.085522311,0.015177707,0.089518315,0
Vynohradne,Luhansk,49.3957,39.40637,0.066988889,0.355685131,0.40761858,0.007158514,0.191517425,1
Vinogradnoye,Donetsk,47.09376,37.68856,0.728622222,0.008746356,0.219521544,0.326700049,0.230220748,0
Viktorovka,Donetsk,48.53252,36.95732,0.0624,0.533527697,0.418684141,0.009476544,0.939924039,0
Viktorivka,Donetsk,47.63509,37.80831,0.815777778,0.478134111,0.392082951,0.019869656,0.279730497,0
Veselyy Hay,Donetsk,47.89907,37.26092,0.197144444,0.352769679,0.054344965,0.027643038,0.618277645,0
Vesele,Luhansk,49.51364,39.83338,0.061088889,0.367346939,0.607975596,0.007281309,0.030091773,0
Vesely,Donetsk,48.7,37.6,0.390022222,0.326530612,0.031543924,0.238959816,0.732197308,0
Vesele,Luhansk,48.2164,38.57633,0.586255556,0.72303207,0.408987782,0.014190054,0.247491045,0
Vesele,Donetsk,48.1889,37.75886,0.552744444,0.460641399,0.11216022,0.015156474,0.471305288,0
Vesele,Donetsk,47.93379,36.76199,0.317544444,0.29154519,0.050423797,0.010990025,0.88953501,0
Vesele,Donetsk,47.63398,38.07835,0.725611111,0.288629738,0.25238687,0.018529607,0.134135379,0
Vesely,Donetsk,47.47056,38.23278,0.191266667,0.157434402,0.006946841,0.012400822,0.037611729,0
Veselyy,Donetsk,47.36667,37.93333,0.359422222,0.27696793,0.399525705,0.011235021,0.167018221,0
Veseloye,Donetsk,47.09,37.41164,0.669344444,0.21574344,0.070162914,0.013302488,0.288610485,0
Veseloye Pole,Donetsk,48.54407,37.07807,0.245355556,0.588921283,0.264518278,0.009466415,0.889494785,0
Veseloye,Donetsk,48.10361,38.76194,0.712355556,0.43148688,0.139963772,0.260818368,0.142371648,0
Vesele,Donetsk,47.18366,36.97165,0.269733333,0.224489796,0.256610425,0.010924128,0.510107077,0
Veselenke,Luhansk,48.61718,39.44742,0.813688889,0.128279883,0.535260041,0.627056168,0.118169055,0
Vesela Tarasivka,Luhansk,48.51444,39.07889,0.479366667,0.172011662,0.026271387,0.030074542,0.33137201,0
Vesela Hora,Luhansk,48.71261,39.253660000000004,0.588066667,0.157434402,0.130910448,0.023443118,0.233311915,1
Veselaya Gora,Donetsk,48.6214,37.11816,0.107788889,0.422740525,0.497905074,0.009652947,0.898009319,1
Vershynivka,Donetsk,47.48795,38.14523,0.283888889,0.265306122,0.461301751,0.011152706,0.083979184,0
Vershyna,Donetsk,48.51606,38.13437,0.324666667,0.501457726,0.227132083,0.013675658,0.527943147,0
Verovka,Donetsk,48.26611,38.17417,0.6833,0.483965015,0.258686086,0.334118922,0.386065413,0
Verolyubovka,Donetsk,48.60987,37.71864,0.263288889,0.457725948,0.12167137,0.007055298,0.672543334,0
Verkhnya Pokrovka,Luhansk,49.25596,38.72054,0.075188889,0.29154519,4.87042333667793e-4,0.015800481,0.336361867,0
Verkhnya Vilkhova,Luhansk,48.75424,39.55288,0.892966667,0.38483965,0.055957292,0.011763453,0.088270483,0
Verkhnyaya Loshchina,Luhansk,48.71667,39.61667,0.928788889,0.411078717,0.253388213,0.011763453,0.050461664,0
Verkhnya Krynka,Donetsk,48.1623,38.14893,0.651544444,0.379008746,0.215124118,0.348657921,0.335383246,0
Verkhnya Krasnyanka,Luhansk,48.27041,39.50559,0.568755556,0.329446064,0.451410774,0.018725299,0.195276527,0
Verkhnoharasymivka,Luhansk,48.27679,39.9324,0.8588,0.128279883,0.470934191,0.019936528,0.012413105,1
Verkhnya Duvanka,Luhansk,49.69155,38.06209,0.2058,0.303206997,0.726287579,0.010834249,0.131433576,0
Verkhnoderevechka,Luhansk,48.19868,39.72426,0.936444444,0.475218659,0.340643995,0.009710249,0.099456901,0
Verkhniy Naholchyk,Luhansk,48.08593,39.08921,0.668177778,0.518950437,0.178969042,0.278374209,0.126992594,0
Verkhniy Minchenok,Luhansk,48.88184,39.47454,0.736066667,0.21574344,0.246981992,0.011763453,0.127187402,0
Verkhneye,Luhansk,48.88333,38.46667,0.433555556,0.15451895,0.022362652,0.230691227,0.587100737,0
Verkhnotuzlove,Luhansk,47.88503,39.5104,0.232433333,0.603498542,0.010080516,0.005102762,0.021465215,0
Verkhnotoretske,Donetsk,48.22187,37.8798,0.558155556,0.344023324,0.0214814,0.184364909,0.440805066,1
Verkhne-Studenetskiy,Luhansk,49.4,39.3,0.131177778,0.489795918,0.037682379,0.013165734,0.195724512,0
Verkhne-Lozovyy,Luhansk,48.39194,38.42222,0.289144444,0.874635569,0.24295546,0.042994763,0.37895608386477603,0
