commune,year,kontakt,burgle,violentcrime,violentcrime_rate,drug_smuggling,drug_total,drug_trafficking,murder,murderrate,age1565,lowbracket,pop,pctforeign,eAdminhead,eEducationhead,eHospitalHealthInsurance,eHousinghead,eSocialhead,eTotalhead,eTraffichead,eUtilitieshead,lowincome,lowincome_rate,sd_share,seatsCDP,seatsCPP,seatsCoPP,seatsDPP,seatsDR,seatsLDP,seatsPP,seatsSDP,seatsSLP,seatsSPP,seatsSlesvig,seatsUL,seatsmisc,totalseats,unemp_rate,unemployed,pct1565,crime_vtheft
Munkebo,2004,16046,29,20,3.513703346,0,1,1,0,0,4004,271,5692,0.040934645,4.364546776,9.746837616,0,1.37368238,28.79954338,43.86138535,0.827125788,-1.250351429,1951,0.342761785,0.692307711,0,0,1,0,0,2,0,9,0,1,0,0,0,13,0.03706957,211,0.703443408,49
Møldrup,2004,16943,47,14,1.81394136,0,0,0,0,0,5118,477,7718,0.025783882,3.854496002,8.214045525,0,0.48237884,21.40723038,34.71197128,0.992614686,-0.238792434,3179,0.411894262,0.200000003,0,0,1,0,0,9,0,3,0,1,0,0,1,15,0.024617776,190,0.663125157,61
Møn,2004,35290,56,34,2.898303509,0,2,2,0,0,7965,657,11731,0.030005967,4.713494301,7.671554089,0,0.8342852,27.73480606,41.26007843,0.960787654,-0.654846132,4420,0.376779467,0.235294119,0,0,1,1,0,7,0,4,2,2,0,0,0,17,0.032989513,387,0.678970277,90
Nakskov,2004,85385,56,70,4.653945923,1,15,14,0,0,10296,760,15041,0.063160695,5.215344906,7.675287724,0,0.815171838,38.0529213,50.76623917,0.983378768,-1.97586596,5913,0.393125445,0.315789461,0,0,1,0,0,1,0,6,0,10,0,0,1,19,0.044345457,667,0.684528947,126
Nibe,2004,16438,48,17,2.080019474,0,1,1,0,0,5611,493,8173,0.023859048,4.245931625,8.197724342,0,0.731065691,24.33879852,38.13727951,1.066438317,-0.44267711,3261,0.398996711,0.352941185,0,0,0,0,0,10,0,6,0,1,0,0,0,17,0.035237979,288,0.686528802,65
Nordborg,2004,31917,50,39,2.773234606,0,0,0,0,0,9695,640,14063,0.033776578,3.688117743,8.250160217,0,0.947664082,23.74208832,37.44705963,1.363364816,-0.5443362,4166,0.296238363,0.529411793,0,0,1,1,0,5,0,9,0,1,0,0,0,17,0.020479271,288,0.689397693,89
Nyborg,2004,61119,56,82,4.354059219,0,4,4,1,5.31E-05,13147,872,18833,0.039823715,4.124993324,7.733446598,0,1.016566634,29.86672401,43.66218948,0.920458794,0,6903,0.366537452,0.294117659,0,0,2,1,0,6,0,5,0,1,0,0,2,17,0.033292625,627,0.698083162,138
Nykøbing-Falster,2004,94150,86,105,4.108141899,0,15,15,0,0,17892,1237,25559,0.039242536,4.581165314,7.450017452,0,0.87804687,29.41832542,42.527565,0.81986773,-0.619859934,10475,0.409836054,0.238095239,0,0,2,1,0,2,0,5,0,2,0,0,9,21,0.03176963,812,0.700027406,191
Nykøbing-Rørvig,2004,19901,32,48,6.41539669,0,0,0,0,0,5157,328,7482,0.031809676,4.635525227,6.426490307,0,0.893076718,30.87075615,42.95923615,1.214915752,-1.081529021,2907,0.38853249,0.400000006,0,0,2,0,0,6,0,6,0,1,0,0,0,15,0.028869286,216,0.689254224,80
Nysted,2004,14649,18,18,3.295495987,0,0,0,0,0,3760,360,5462,0.028560966,5.870010853,8.45953846,0,0.799890161,25.64170647,41.19278717,0.898755014,-0.477114618,2204,0.40351519,0.266666681,0,0,1,1,0,3,0,4,1,0,0,0,5,15,0.034602709,189,0.68839252,36
